Currency,USD
AED,3.672985
AFN,70.133986
ALL,94.635739
AMD,396.179757
ANG,1.799356
AOA,911.999425
ARS,1028.774632
AUD,1.60811
AWG,1.8
AZN,1.700833
BAM,1.8785
BBD,2.015848
BDT,119.310378
BGN,1.8767
BHD,0.377151
BIF,2952.312347
BMD,1
BND,1.356673
BOB,6.899102
BRL,6.180604
BSD,0.998415
BTC,1.0319831e-05
BTN,84.985833
BWP,13.866398
BYN,3.267349
BYR,19600
BZD,2.009028
CAD,1.439105
CDF,2869.999694
CHF,0.900175
CLF,0.035928
CLP,991.280348
CNH,7.30537
CNY,7.299298
COP,4395
CRC,506.939442
CUC,1
CUP,26.5
CVE,105.90693
CZK,24.124296
DJF,177.720148
DKK,7.145685
DOP,60.817365
DZD,135.271013
EGP,50.8728
ERN,15
ETB,127.121932
EUR,0.957972
FJD,2.321902
FKP,0.791982
GBP,0.79676
GEL,2.809722
GGP,0.791982
GHS,14.676079
GIP,0.791982
GMD,71.999698
GNF,8628.919944
GTQ,7.690535
GYD,208.884407
HKD,7.761705
HNL,25.367142
HRK,7.172906
HTG,130.547952
HUF,393.917974
IDR,16212.05
ILS,3.680455
IMP,0.791982
INR,85.51915
IQD,1307.880709
IRR,42087.510825
ISK,138.990347
JEP,0.791982
JMD,155.558757
JOD,0.709099
JPY,157.664503
KES,129.467862
KGS,86.999402
KHR,4012.870384
KMF,466.124985
KPW,899.999441
KRW,1473.705016
KWD,0.30812
KYD,0.832061
KZT,517.226144
LAK,21834.509917
LBP,89407.001873
LKR,294.251549
LRD,181.712529
LSL,18.564664
LTL,2.95274
LVL,0.60489
LYD,4.901311
MAD,10.068386
MDL,18.420977
MGA,4709.215771
MKD,59.07965
MMK,3247.960992
MNT,3397.99987
MOP,7.98713
MRU,39.855929
MUR,46.949773
MVR,15.395633
MWK,1731.258704
MXN,20.25231
MYR,4.471501
MZN,63.903729
NAD,18.564664
NGN,1546.999858
NIO,36.738222
NOK,11.338385
NPR,135.977525
NZD,1.774182
OMR,0.385016
PAB,0.998415
PEN,3.717812
PGK,4.05225
PHP,58.215022
PKR,277.955434
PLN,4.095911
PYG,7786.582145
QAR,3.631177
RON,4.767198
RSD,112.049739
RUB,105.375552
RWF,1392.786822
SAR,3.755315
SBD,8.383555
SCR,14.3733
SDG,601.501055
SEK,10.98653
SGD,1.358475
SHP,0.791982
SLE,22.801325
SLL,20969.503029
SOS,570.619027
SRD,35.058029
STD,20697.981008
SVC,8.736493
SYP,2512.530243
SZL,18.572732
THB,33.956011
TJS,10.922538
TMT,3.51
TND,3.183499
TOP,2.342102
TRY,35.226875
TTD,6.784805
TWD,32.838505
TZS,2425.000152
UAH,41.863132
UGX,3654.612688
USD,1
UYU,44.441243
UZS,12889.593238
VES,51.701117
VND,25455
VUV,118.722003
WST,2.762788
XAF,630.031215
XAG,0.033693
XAU,0.00038
XCD,2.70255
XDR,0.7655
XOF,630.031215
XPF,114.546415
YER,250.375024
ZAR,18.725375
ZMK,9001.19631
ZMW,27.630985
ZWL,321.999592
