Timestamp,Region,Country,Symbol,Name,Price,Currency,Volume (M),Market Cap (M),Sector
1731112393.5136309,Middle East / Africa,Egypt,TMGH,T M G HOLDING,60.71,EGP,7.486,125279.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,COMI,COMMERCIAL INTERNATIONAL BANK-EGYPT (CIB),81.01,EGP,3.772,246526.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,HRHO,EFG HOLDING,22.78,EGP,7.361,33250.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,ESRS,EZZ STEEL,118.98,EGP,1.262,64638.0,Non-energy minerals
1731112393.5136309,Middle East / Africa,Egypt,ORHD,ORASCOM DEVELOPMENT EGYPT,15.38,EGP,9.615,17387.0,Consumer durables
1731112393.5136309,Middle East / Africa,Egypt,PHDC,PALM HILLS DEVELOPMENT COMPANY,5.81,EGP,20.155,17091.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,MFPC,MISR FERTILIZERS PRODUCTION COMPANY - MOPCO,43.08,EGP,2.623,89571.0,Process industries
1731112393.5136309,Middle East / Africa,Egypt,MTIE,MM GROUP FOR INDUSTRY AND INTERNATIONAL TRADE,7.94,EGP,13.659,11994.0,Distribution services
1731112393.5136309,Middle East / Africa,Egypt,SWDY,ELSWEDY ELECTRIC,92.5,EGP,1.089,198022.0,Producer manufacturing
1731112393.5136309,Middle East / Africa,Egypt,ACGC,ARAB COTTON GINNING,8.02,EGP,11.942,2124.0,Process industries
1731112393.5136309,Middle East / Africa,Egypt,GBCO,GB CORP,14.97,EGP,6.034,16250.0,Distribution services
1731112393.5136309,Middle East / Africa,Egypt,BTFH,BELTONE HOLDING,3.0,EGP,25.766,16390.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,SKPC,SIDI KERIR PETROCHEMICALS - SIDPEC,21.13,EGP,3.634,19169.0,Process industries
1731112393.5136309,Middle East / Africa,Egypt,RAYA,RAYA HOLDING FOR FINANCIAL INVESTMENTS,3.4,EGP,22.387,14556.0,Technology services
1731112393.5136309,Middle East / Africa,Egypt,ATQA,MISR NATIONAL STEEL - ATAQA,5.23,EGP,13.738,6276.0,Non-energy minerals
1731112393.5136309,Middle East / Africa,Egypt,ORWE,ORIENTAL WEAVERS,29.2,EGP,2.453,19421.0,Consumer durables
1731112393.5136309,Middle East / Africa,Egypt,EMFD,EMAAR MISR FOR DEVELOPMENT,8.5,EGP,7.953,38499.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,TAQA,TAQA ARABIA,13.8,EGP,4.283,18663.0,Utilities
1731112393.5136309,Middle East / Africa,Egypt,EGAS,NATURAL GAS & MINING PROJECT (EGYPT GAS),44.69,EGP,1.266,6445.0,Utilities
1731112393.5136309,Middle East / Africa,Egypt,FWRY,FAWRY FOR BANKING TECHNOLOGY AND ELECTRONIC PAYMENT,8.18,EGP,6.747,27054.0,Technology services
1731112393.5136309,Middle East / Africa,Egypt,HELI,HELIOPOLIS HOUSING,10.21,EGP,4.903,13631.0,Consumer durables
1731112393.5136309,Middle East / Africa,Egypt,ISPH,IBNSINA PHARMA,5.75,EGP,8.47,6440.0,Distribution services
1731112393.5136309,Middle East / Africa,Egypt,OCDI,SIX OF OCTOBER DEVELOPMENT & INVESTMENT (SODIC),63.12,EGP,0.722864,22483.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,EAST,EASTERN COMPANY,28.2,EGP,1.559,84600.0,Consumer non-durables
1731112393.5136309,Middle East / Africa,Egypt,ZMID,ZAHRAA MAADI INVESTMENT & DEVELOPMENT,7.28,EGP,5.78,3844.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,RMDA,TENTH OF RAMADAN PHARMACEUTICAL INDUSTRIES&DIAGNOSTIC-RAMEDA,3.63,EGP,11.55,5492.0,Health technology
1731112393.5136309,Middle East / Africa,Egypt,ABUK,ABOU KIR FERTILIZERS,56.07,EGP,0.73004,70753.0,Process industries
1731112393.5136309,Middle East / Africa,Egypt,DOMT,ARABIAN FOOD INDUSTRIES DOMTY,27.36,EGP,1.31,7732.0,Consumer non-durables
1731112393.5136309,Middle East / Africa,Egypt,DSCW,DICE SPORT & CASUAL WEAR,1.87,EGP,18.395,3341.0,Consumer non-durables
1731112393.5136309,Middle East / Africa,Egypt,RACC,RAYA CUSTOMER EXPERIENCE,7.1,EGP,4.661,1551.0,Commercial services
1731112393.5136309,Middle East / Africa,Egypt,KABO,EL NASR CLOTHES & TEXTILES (KABO),3.0,EGP,10.949,1394.0,Consumer non-durables
1731112393.5136309,Middle East / Africa,Egypt,MASR,MADINET MASR FOR HOUSING AND DEVELOPMENT,4.21,EGP,7.163,8988.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,CIEB,CREDIT AGRICOLE EGYPT,21.04,EGP,1.433,26300.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,ACTF,ACT FINANCIAL,3.5,EGP,7.951,3940.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,ETRS,EGYPTIAN TRANSPORT (EGYTRANS),4.95,EGP,5.563,772.509,Transportation
1731112393.5136309,Middle East / Africa,Egypt,CCAP,QALA FOR FINANCIAL INVESTMENTS,2.42,EGP,11.362,3432.0,Finance
1731112393.5136309,Middle East / Africa,Egypt,RREI,ARAB REAL ESTATE INVESTMENT CO.-ALICO,1.73,EGP,15.435,426.272,Consumer durables
1731112393.5136309,Middle East / Africa,Egypt,EGTS,EGYPTIAN FOR TOURISM RESORTS,5.74,EGP,4.576,6027.0,Utilities
1731112393.5136309,Middle East / Africa,Egypt,AMES,ALEXANDRIA NEW MEDICAL CENTER,23.86,EGP,1.053,2973.0,Health services
1731112393.5136309,Middle East / Africa,Egypt,PHAR,EGYPTIAN INTERNATIONAL PHARMACEUTICALS (EIPICO),48.0,EGP,0.522715,7140.0,Health technology
1731112393.5136309,Middle East / Africa,Egypt,MPRC,EGYPTIAN MEDIA PRODUCTION CITY,27.1,EGP,0.88216,5139.0,Consumer services
1731112393.5136309,Middle East / Africa,Egypt,EFID,EDITA FOOD INDUSTRIES S.A.E,31.01,EGP,0.75641,21707.0,Consumer non-durables
1731112393.5136309,Middle East / Africa,Egypt,ALCN,ALEXANDRIA CONTAINERS AND GOODS,23.99,EGP,0.914601,71478.0,Transportation
1731112393.5136309,Middle East / Africa,Egypt,ELEC,ELECTRO CABLE EGYPT,2.98,EGP,7.002,9874.0,Producer manufacturing
